artist_name,track_category,n,lyric_rate,vibe_rate
Drake,beef,1208,8.86,7.86
Drake,catalog,1480,1.08,1.62
Drake,post,1426,1.75,5.05
Eminem,beef,1010,3.86,4.06
Eminem,catalog,839,3.58,2.38
Eminem,post,919,8.81,3.48
Kendrick Lamar,beef,904,2.99,6.64
Kendrick Lamar,catalog,801,2.5,4.24
Kendrick Lamar,post,780,3.59,8.08
Lil Wayne,beef,834,2.28,3.72
Lil Wayne,catalog,717,3.49,6.56
Lil Wayne,post,681,4.55,8.66
MGK,beef,1053,3.42,6.46
MGK,catalog,718,2.23,5.57
MGK,post,820,1.46,4.02
Megan Thee Stallion,beef,919,4.13,4.46
Megan Thee Stallion,catalog,756,2.65,5.29
Megan Thee Stallion,post,947,1.37,5.91
Nicki Minaj,beef,975,4.62,4.92
Nicki Minaj,catalog,703,2.28,4.41
Nicki Minaj,post,629,5.41,5.09
Pusha T,catalog,1028,8.46,27.82
Pusha T,post,941,7.86,10.95
